,SMILES,MaxEStateIndex,MinEStateIndex,MaxPartialCharge,MinPartialCharge,FpDensityMorgan2,BalabanJ,BertzCT,HallKierAlpha,LabuteASA,TPSA,FractionCSP3,MolLogP,HOMO,LUMO,gap,dipole,BDE,IP,PDE,PA,ETE
10,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,12.16519,-1.63794,0.34945,-0.39358,1.74074,2.27529,1075.45399,-2.66,152.29232,161.56,0.41176,-1.72356,-9.25,1.909,11.159,8.31088,66.86776,188.87078,52.16986,240.28897,82.6151
11,O=C(O)c1cccnc1,10.16093,-0.94157,0.33676,-0.4776,2.44444,2.98145,207.55766,-1.38,51.97175,50.19,0,0.7798,-10.72,1.149,11.869,3.33113,100.73096,220.92699,51.91982,272.09514,84.67213
12,Cc1ncc(CO)c(CO)c1O,9.37588,-0.28662,0.14214,-0.50566,2,3.25329,285.87662,-1.13,70.12858,73.58,0.375,0.08022,-9.24,0.477,9.717,1.54797,73.3167,193.0549,72.68346,264.98669,64.36632
13,Nc1nc2ncc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,12.26727,-1.31379,0.32572,-0.48123,1.84375,1.62183,1225.05869,-4.55,179.27752,213.28,0.21053,-0.0448,-8.69,1.417,10.107,6.57574,61.7399,165.47118,85.25444,249.97395,67.80226
14,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,11.26492,-1.35065,0.30463,-0.48118,1.93333,4.05054,238.6572,-1.14,87.9144,106.86,0.77778,-1.0433,-9.97,0.507,10.477,4.0065,69.67287,198.46182,65.63645,263.3466,62.36258
15,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,11.11231,-0.7289,0.31494,-0.48123,2.25,1.70304,297.78873,-0.91,98.35218,78.43,0.8,0.7968,-9,0.469,9.469,6.22247,68.56828,191.24622,83.86046,274.35501,50.24958
16,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,10.53245,-1.41796,0.3775,-0.50505,2.08333,2.79607,232.19281,-1.27,67.32053,107.22,0.5,-1.4074,-9.35,0.343,9.693,2.17581,65.2179,194.51674,50.93432,244.69939,76.55482
17,CCCC(=O)O,9.59931,-0.71065,0.30283,-0.48123,2.33333,2.83126,49.50978,-0.53,36.78983,37.3,0.75,0.8711,-11.18,0.94,12.12,1.95384,80.35197,239.72812,43.64866,282.62511,53.76317
18,CCCCCC(=O)O,9.87412,-0.68199,0.30284,-0.48123,2.125,2.82235,68.92879,-0.53,49.51972,37.3,0.83333,1.6513,-11.16,0.945,12.105,1.94293,80.07546,228.61056,54.25173,282.11062,54.00115
19,CCCCCCC(=O)O,9.96245,-0.6749,0.30284,-0.48123,2,2.82887,78.98534,-0.53,55.88466,37.3,0.85714,2.0414,-11.15,0.959,12.109,1.97055,79.82601,200.89348,82.12367,282.26548,53.59684
